Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
34,68,13.5,23.4,18.8,1.8,0.82,0.5,287,Good
25.1,46.7,14.9,17.4,18.3,25.1,0.71,4.3,296,Moderate
27.7,62,70.5,67.4,18.1,7.5,0.61,3.6,318,Good
27.9,36.6,65.4,83.5,12.9,15.4,0.62,8.1,282,Hazardous
26.3,91.6,121.3,134.4,25.3,18.2,0.55,11.9,301,Poor
23.9,35,16.5,35.1,17.4,24.6,1.4,3.4,286,Moderate
32.2,72.6,21.7,35.4,12.7,9.6,1.16,1.2,287,Poor
26.3,59,1.8,16.6,19.7,26.8,0.88,12.2,280,Moderate
27.7,23.3,81.3,86.7,14.7,21.7,0.97,7.4,310,Good
17.6,71.8,14,23.5,32.9,14.2,0.79,3.2,249,Good
24.3,75.1,20,29.2,27,15.4,0.73,4.1,296,Moderate
17.8,44.3,30.3,39.1,22.6,8.4,0.89,3.7,296,Poor
22.4,61.6,6,12.9,18,17.5,1.13,14.8,276,Good
24.8,29,77.2,83.1,18.1,21,0.36,3.1,289,Poor
26.7,82.9,3.8,16.8,30.5,27.3,1.27,24.8,258,Good
28,33.3,48,53.8,23.1,13,1.53,8.4,293,Moderate
13.9,68.9,23.6,26.2,14.1,8,0.68,1.1,313,Moderate
44.2,86.7,3.3,14,47.3,10.5,0.6,0.9,298,Hazardous
27.6,66.2,23.2,38.4,23,12.3,0.93,2.7,308,Moderate
21,64.5,0.6,11.2,31.3,28.2,0.55,7.7,329,Moderate
25.9,63.6,27.7,28.9,19.9,23.7,0.82,3.3,300,Poor
37.8,49.9,5.1,10,12.2,15.7,1.24,1.2,358,Moderate
29.7,71.2,37.1,40.9,12.9,16.7,0.81,7.8,273,Good
28.4,28.5,59.9,71.5,23.9,16.9,0.59,0,294,Poor
32.7,76.7,28.4,35.9,14.6,0,0.77,0.5,302,Good
27.2,54.7,6.1,19.4,27.1,27,0.69,4.7,303,Good
20.5,42.8,2.1,12.5,25.1,27,0.89,13.1,326,Hazardous
25,54.1,2.1,12.8,27.1,25.7,0.61,1.3,292,Good
29.1,85.2,22.8,36.8,24.1,19.8,1,7.9,279,Good
22.9,100,2,17.1,13.7,21.9,0.82,4.5,290,Poor
19.5,56.7,2.6,16,11.3,18.9,1.25,1.3,285,Good
30.4,55,65.2,77.2,33.9,7.1,0.77,2.1,296,Hazardous
23.7,72.7,14.4,29.3,8.3,12.1,0.75,4.8,337,Moderate
31.2,57,0.9,12.5,28.6,9,1.32,6.3,289,Good
26.8,82.7,61.6,65.3,33.5,22,1.34,9.7,314,Moderate
33.5,66.6,8.3,17.8,10.5,14.7,0.93,13.8,310,Moderate
17.3,38.9,121.3,139.2,10.7,15.4,0.81,6.7,309,Poor
29.3,50.2,28.9,36.9,2.2,17.9,1.17,5,311,Good
21.9,73.1,39.1,61.2,14.2,23.4,0.93,1.3,313,Good
19,64.6,7.2,14.6,47.3,14.1,1.06,2.5,307,Good
20.4,34.8,21.8,38.4,13.3,15.1,1.28,3.4,284,Hazardous
19.5,68.2,50.3,57.6,18.3,9.4,0.79,12,286,Good
20.1,49.8,25.7,40.5,27.3,25,1.46,11.5,298,Poor
24.3,51.8,1,9.1,26.9,3.1,0.84,8.9,290,Poor
23.9,71.9,12.8,27.8,29,16.7,1.2,13.1,269,Poor
22.8,76.1,51.2,63,9.1,21.8,1.22,4,298,Poor
23.3,54,14.7,21.2,26.5,0.6,0.77,1.5,304,Moderate
22,59.5,22.1,25.3,44.2,25.2,0.75,6.5,301,Poor
28.3,50,21.9,10.6,13,16.2,1.14,4.5,269,Poor
27.9,52.9,34.1,37.4,23.7,14.1,1.05,1.2,308,Moderate
19.5,58.8,14.2,31.3,21.3,12.2,0.96,1.9,319,Good
26.3,60.9,48.1,52.8,29.3,12.4,1.15,0.5,333,Poor
28.7,59.6,30.8,35.6,27.7,16.5,1.68,0.7,308,Moderate
21,43.2,12.1,30.8,22.4,1.8,1.07,10.4,286,Moderate
21.2,37.7,52.9,59.2,2.5,14.3,0.94,0.2,320,Moderate
35.1,87,64.8,69.9,25.8,27,1.21,4.1,277,Moderate
28.3,52.1,0.2,6,13.8,12.7,1.4,8.5,293,Moderate
34.7,47.6,3.2,23.5,15.7,12.3,0.46,0.6,296,Poor
21,71.1,2.6,10.6,23.9,25.6,0.81,13.5,278,Poor
22.8,68.7,51.7,73.7,20.8,11.1,0.89,0,321,Hazardous
25.9,50.1,17,32.2,15.4,19.6,1.43,6.6,296,Moderate
36.1,93.8,3.4,8.5,19.6,12.2,1.33,7.3,317,Hazardous
26.6,67.8,88.6,91.7,7.1,22.2,1,3.5,308,Moderate
19.8,68.9,80.2,88.4,9,16.9,0.59,0.9,319,Poor
27.8,58.8,24.8,31.6,18.5,6.5,1.54,3,291,Poor
25.3,54.3,37.5,51.1,21.8,17.1,0.78,5.4,319,Moderate
21.7,43,48.9,62,18.4,10.5,0.69,2.9,283,Good
24,58.7,16.6,27.7,16.6,17.8,0.54,15.2,292,Good
18.6,51.4,1.2,10.5,53,11.1,0.76,8.5,289,Hazardous
21.3,59.4,8.5,17.5,25.9,16.5,0.93,9.7,291,Poor
32.2,59.3,25.2,32.6,9.1,13.6,0.48,2.9,291,Good
27.7,59.6,37,41.3,20.4,9.6,0.67,3.9,299,Good
23.4,62.4,32.5,40.2,14.6,20.2,0.94,18.4,304,Moderate
28.7,66.6,24.6,23.7,30.4,15.2,0.6,2.1,289,Moderate
16.3,53.7,2,16.8,20.3,15.6,0.56,5.2,314,Hazardous
22.3,49.1,2,12.9,14.1,8.6,0.57,6.2,288,Moderate
20,35.7,81.4,89.5,13.3,2.9,0.97,3,306,Moderate
22.6,54.3,44.8,58,16.5,15.8,1.02,3.2,316,Moderate
21.6,55.6,66.4,80.8,31.1,12.5,1.23,7.4,310,Good
25.7,46.2,2.6,5,18,14.2,1.19,6.7,305,Moderate
29,62.5,54.6,65.1,27,23.5,1.03,1.5,316,Good
14.3,63.9,30.5,40.1,31.6,23.3,1.09,2.3,279,Good
27.6,74.5,68.1,84.4,15.8,16.7,1.07,2.9,266,Hazardous
21.4,43.3,21.6,37.9,40.3,6,1.27,3.3,315,Good
17.6,55.2,2.9,20.2,19.2,15.2,0.73,3,278,Moderate
22.8,39.4,35.4,37.7,20.7,21.8,0.47,2.8,294,Moderate
23.2,52.2,10.4,22.5,28.2,9.3,1.17,25.6,285,Good
30.4,65.7,18.1,30.3,19.9,13,0.95,4.9,299,Poor
16.1,59.9,24.8,36.7,24.6,0,1.27,1.8,320,Moderate
20,57.4,4.4,20,38,26.4,0.41,1.4,279,Poor
26.3,50.6,7.1,7.8,26.4,25.6,0.74,15.2,308,Moderate
26.7,51.9,63.1,72,15.1,7.2,1,8.7,275,Poor
35.2,96.7,16.8,29.1,25.1,16.7,1.11,8.9,313,Good
21.9,72.4,12.6,31.5,26.1,19.9,0.64,1.8,308,Moderate
30.7,55.5,26.6,40.2,25.5,13.1,1.2,0.5,311,Moderate
21.4,64,38.7,48.3,25.5,30.1,1.2,5.4,303,Poor
17.7,33.4,82.7,98.8,4.2,18.2,1.24,10.3,326,Good
31.7,37.6,111.4,113.7,23.3,12.9,0.86,5.3,314,Good
25,67.9,91.4,108.4,23.4,21.4,0.8,2.1,303,Moderate
22.1,49.1,35,42.7,3.9,13.8,0.58,0.7,297,Poor
29.7,62,6,15.7,24.2,3.1,0.55,0.7,329,Poor
27.4,53.4,34.6,41.7,22,17.5,0.45,5.2,274,Poor
35.7,74.5,2.2,7.4,23.2,13.7,0.82,8.1,320,Good
12,62.1,26.8,36.9,31.3,26,0.58,11.4,315,Hazardous
35.7,56.2,58.6,69.8,31.7,14.3,0.88,0.2,287,Moderate
24.7,76.8,38.5,48.1,9.7,4.6,0.74,3.1,267,Good
25.3,56.7,8.3,18.3,-4.4,15.3,0.89,5.1,311,Moderate
29.8,73.7,52.4,67.5,27,20,1.07,8.6,313,Good
38.4,69.6,28.5,38.5,19.4,7.7,0.93,1.7,316,Moderate
16.4,61.7,9.6,17,18.5,13,1,0.2,311,Good
24.3,38.4,60.2,69.1,30.1,4.6,1.21,6.3,296,Poor
19.6,61.6,7.5,23.9,15.1,9.4,0.39,3.8,309,Moderate
27.8,54,9.5,20.4,25.6,18.4,1.32,1.5,314,Good
20.9,67.4,68,89.3,20.2,20,0.51,1.9,283,Good
27.3,65.2,159,174.2,34.2,11.9,0.7,8.8,306,Moderate
25.1,69.7,29.4,31.7,34.2,0,0.85,18.1,286,Good
19.7,57.1,17.3,37.2,27.9,21.7,0.47,2.7,290,Good
25.2,88.1,6.9,16.6,66.7,24.6,0.6,9.7,338,Good
24,65.1,5.1,14.4,64.9,16.5,0.68,1,308,Moderate
29.6,78.5,5.5,11.6,25.7,15.2,1.1,1.6,293,Good
22.7,70.2,2.4,18.7,9.4,18.6,0.64,2.4,311,Good
24.8,69.5,1.9,20.1,19.2,0,0.58,5.7,256,Poor
33.2,22.4,16,21.3,13.3,13.1,1.01,27.9,315,Moderate
24.9,66.7,1,6.2,30.3,0.8,0.74,2.7,295,Moderate
24.6,65.2,38.4,50.7,21.1,16.5,0.73,1.8,299,Good
27.7,56,6.8,23.7,18,9.3,0.76,9.7,282,Good
12.8,56.2,57.7,74.3,23.7,24,0.77,13.6,309,Poor
34.3,50.2,49.5,58.5,31.3,20.3,1.09,6.7,293,Good
31,52.1,57.3,67.7,19.7,0,0.87,0.7,276,Good
26.9,66.5,18.4,22.9,17.1,26.4,1.15,8.9,312,Hazardous
26.3,51.3,9.6,17.5,30.6,4.4,1.8,13.8,334,Moderate
36.8,38,9.6,21.9,13.3,2.1,1.38,2.9,294,Hazardous
20.9,57.3,23.3,35.4,16.4,23.2,0.58,3.8,285,Good
29.2,68.7,125.4,123.1,36.3,15.6,1.52,3.8,327,Moderate
31.5,31.6,35.5,46.3,17.2,14.1,1.06,7.2,288,Poor
24.3,64.3,15.9,22,15.1,7,0.88,4,287,Moderate
31.8,51.9,98.1,110.6,18.6,9.3,0.44,4.5,283,Good
21.8,43.3,84.3,88.7,29.9,13.8,0.99,2.4,304,Good
17.2,53.2,40.3,51.4,14.8,24.5,1,2.1,322,Good
26.6,78.9,5.6,14.2,13.1,7.5,0.55,14.3,309,Good
30,79.9,33.9,49.2,21.4,11.3,1.2,2.3,286,Good
45.9,60.3,6.9,6.1,29.6,30.1,0.88,2.4,275,Hazardous
20.2,50.4,12.4,26.8,48.2,14.5,0.25,11.9,311,Moderate
29.1,38.1,34.7,43.1,17.1,10,0.86,6.4,294,Moderate
28,92.1,6.7,12.7,28.4,10.2,0.73,0.5,311,Good
21.3,56.2,47.2,56.9,5,15.8,0.93,0.9,302,Moderate
19,89.4,18.3,33.8,22.5,26.8,0.74,7.9,318,Good
39.7,43.8,54.1,68.8,7.3,15.7,1.28,1.6,289,Poor
32.9,81.5,17.2,30.9,17.1,22.8,1.9,4.1,315,Moderate
24.8,83,0.2,11.4,3,7.5,0.9,1.3,303,Hazardous
23.7,51.2,3.2,17.4,16.6,18.9,1.28,4.9,291,Good
26.9,47.9,7.6,19.1,32.4,22.3,1.19,7.7,303,Good
35.1,68.8,4.2,15.3,17.7,11.5,1.48,1.2,307,Moderate
18.5,64.9,19.2,33,37.3,8.4,1.07,10.9,296,Good
25.2,77.2,80.7,94.3,28.8,0.6,0.88,14.9,300,Good
17.4,60.6,0.9,17.8,12.6,17.6,1.44,0.4,310,Poor
23.3,43,17.6,20.6,31.2,13.1,0.68,4.2,292,Good
26.4,89.7,40.5,39.9,24.9,25.2,0.95,2.1,304,Poor
23.4,78,20.1,34.3,31.5,16.9,1.54,0.5,292,Poor
15.7,69.1,1,14.4,10.1,9.3,1.03,0.7,291,Moderate
25.2,88.3,18.1,33.9,24.3,23.6,0.7,4.2,302,Good
44,46.5,23.2,36.1,26.1,2.3,1.19,1.6,309,Moderate
35.1,46.1,0.7,8.1,28.3,17.5,0.9,4.7,325,Moderate
31.4,62.3,30,30.6,34.5,21.8,1.12,3.2,295,Hazardous
22.8,75.6,33.2,45,39.8,18.4,0.69,9.6,294,Good
16.4,71.1,6.5,15.9,39.1,14.7,1.61,2.6,301,Good
25.8,64,33.9,37.6,30.6,20.3,0.73,0.5,316,Moderate
20,61.5,121.6,134.9,21.6,22.6,1.04,1.2,289,Hazardous
24.1,46.2,8.5,11.8,20.5,20.1,0.97,2.9,289,Moderate
25,54.1,67.5,84.1,8.9,8,1.21,0.3,286,Moderate
27,54.9,35.3,47.4,14.9,5.1,0.83,4.5,316,Poor
24.7,71.4,0.8,17.3,17.6,9.7,0.35,0.4,300,Moderate
25.1,47.5,39.7,54.5,27.2,23.7,0.93,21.7,289,Good
14,71.7,29.1,34,33.8,10.1,0.93,0.1,292,Good
28,59.4,13.4,24.7,19.1,1.2,0.8,18.5,296,Good
30.3,55,3.4,13.9,50.7,0,0.97,3.3,277,Good
26,58.9,66.6,78.1,25,23.7,0.94,14.5,277,Good
17,54.6,7.1,16.2,15.7,3.1,0.85,5.6,284,Good
22.3,43.4,8.3,14.7,33.1,29.5,0.81,1.3,303,Poor
31.5,62.6,5.3,18.1,18.4,21.9,0.61,1.8,329,Poor
23.4,49.2,11.1,15.5,11.1,11.4,0.62,1.8,330,Good
46.2,54.9,0.6,13.3,34.2,22.1,0.78,0.4,303,Good
20.5,84.4,13.4,11.9,22.2,11.4,1.27,0.2,294,Moderate
23.2,96.4,4.2,14.4,49.5,21.8,1.31,18.9,337,Good
34.8,45.2,45.8,59.2,13.8,2.9,0.75,2.3,269,Poor
23.2,66.8,56,67.9,39.7,19.8,1.17,3.7,287,Good
16.2,51.5,10.9,25.8,31.5,21.7,1.33,0.3,282,Poor
24.5,40.4,18.8,22.9,36.3,7.1,0.81,3.9,312,Moderate
29.9,56.5,29.3,49.3,19.1,26.6,1.34,3.4,288,Poor
22.3,63.4,89.1,103,33.9,10.2,1.09,0.9,277,Good
28.5,42.9,32.1,42.4,6,10.6,1.04,4.8,283,Hazardous
22.2,49.2,36.3,47.8,41.2,7.4,0.78,1.5,306,Moderate
26.2,18.2,4.5,18.3,21.3,9.3,0.63,1.2,310,Poor
18.3,66,7.4,17.6,14.2,5.7,1.28,3.2,308,Good
28.2,46.4,9.4,16,15.7,25.4,1.25,0.2,316,Hazardous
17.6,88.4,9.1,14.3,19.2,16.6,1.05,1,298,Poor
23.1,37.7,11.7,21.3,4.9,8.5,1.14,1.1,331,Good
22.2,54.1,7.5,21.2,11.2,0,0.73,6.9,315,Good
26.9,70.6,8.4,23.4,30.1,7,0.45,7.5,338,Moderate
29.8,60.9,15.5,17.8,41.2,14.2,0.95,9.3,288,Good
29,60.1,113.1,119.2,26.2,21.1,0.92,4.7,275,Hazardous
20.4,25.5,10.3,24.9,17.8,17.5,1.01,1.8,315,Good
17,48.8,10.9,17.7,3,15.5,0.29,5.6,285,Hazardous
28.8,97.9,70.1,79.4,22,12,0.81,8.9,288,Moderate
29,51.6,56.7,63.8,23.7,22.6,1.28,18.8,306,Good
18.3,77.1,27.8,29.8,32.9,15.3,0.6,2.4,272,Good
20.4,81.5,4.9,22.7,16.7,12.5,0.87,5.6,297,Good
25.2,48.5,8,27.2,18,0,0.44,3.6,293,Good
21.7,55.2,4.2,15.3,18.8,29.4,0.7,4.5,300,Moderate
20.1,65.4,15.3,31.5,1.2,8.1,1.11,4,289,Hazardous
32.2,75.6,18.5,27.4,13.4,10.9,0.86,7.5,295,Good
24.9,74.9,65.6,74.3,14.9,8,0.82,7.1,293,Moderate
23,78.6,41.5,53.4,25.6,12.3,0.27,0.8,303,Moderate
33.5,49.2,22.1,31.8,12.6,15.6,0.81,3,316,Good
15.4,76.5,133.5,148,46.2,13.9,0.74,0.4,293,Good
28.2,72.6,61.9,74.6,30.8,20.4,1.33,2.1,305,Poor
19.7,59.3,4.3,17.9,16.7,10.1,0.81,8.3,283,Poor
25.1,60.7,1.9,7.8,28.9,15.4,0.24,7.1,290,Hazardous
21.9,56.2,43.7,48.7,16.9,18.8,0.96,21.1,306,Poor
25.9,61,4,14.8,75.7,6.1,0.81,0.1,279,Good
24.8,54.7,33.2,53.1,20,1.7,0.86,6.5,306,Good
25,66.4,60.7,75.5,21.7,2.4,0.61,0.1,295,Good
28.4,24.9,10.8,22.2,32.3,9,0.57,0.2,322,Good
25,92.4,28.7,43.2,31.8,29.4,0.75,2.1,280,Moderate
30.7,44.7,38.1,35.4,21.7,33.2,0.83,18.3,282,Hazardous
34.9,58.3,7.5,18.8,9.7,13.2,0.43,3.6,307,Hazardous
23.6,81.7,47,63.6,16,19.5,1.07,3.5,277,Good
31.6,51.7,79.2,89.6,27.1,17.4,1.11,1.1,277,Hazardous
22.2,51.2,92.7,104.2,30.2,9.9,0.79,9.3,332,Good
32.7,80.9,28.4,51.8,21.8,8.5,1.17,9.5,305,Good
29.7,73.9,9.3,26.6,11.4,2.3,1.18,2,288,Poor
23.2,68.1,27.6,34.5,29.6,19.9,0.79,17,284,Good
31.9,83.4,28.1,44.2,17,16.8,1.58,25.7,307,Good
25.8,42.9,1,9.7,41.4,20.2,0.99,11.3,284,Poor
26.7,46.9,113.2,125.4,17.5,14.4,1.21,3.6,320,Moderate
23.6,77.1,102.2,118.5,27.3,4.6,1.17,0.2,301,Moderate
25,70.2,28.5,44.3,12.9,0,1.25,4.2,290,Poor
23.1,80.8,12.7,23.7,5.2,25.4,0.72,1.5,339,Moderate
26.7,51,15.4,24.3,42.4,7.2,0.83,4.8,284,Good
27,65.7,42,56.7,17.4,4.4,0.65,2.7,289,Moderate
27.8,75.9,15.6,31.5,21.4,17.3,0.87,5.3,300,Poor
23.7,58.8,6.9,12.6,25.4,24.6,1.16,1.1,319,Moderate
18.7,31.5,2.6,15.6,22.3,4.8,0.53,2.5,309,Good
26.6,66.5,13.8,22.2,28.7,10.7,0.48,3.2,297,Moderate
24.9,31.2,46.8,63.7,10,14.3,1.05,10,330,Good
22.3,43.8,11.8,25.2,21,22.7,0.68,2.4,295,Good
25.9,49.3,12.1,27.4,18.6,22.3,1.49,8.1,322,Good
35.6,43.4,121.5,124.7,7.6,12.8,1.28,4.9,324,Good
27.6,67.8,12.5,23.2,12.9,11.7,1.18,2.1,308,Poor
24.3,89.1,60.2,71.9,17.1,29.8,1.43,2.1,273,Moderate
35.8,64.6,47.8,57.5,21.3,16.3,1.09,6.3,273,Hazardous
17.1,47.7,33.9,42.9,14.9,11.9,1.26,2.4,297,Moderate
31.1,47.4,37.9,51.2,24.9,9.1,1.13,14.1,286,Hazardous
26.5,58.8,15.8,33.5,30.6,9,0.48,2.3,257,Hazardous
14.5,48.8,7.6,19.1,3.1,12.9,0.71,6.5,291,Moderate
24.9,44.7,17.8,32.5,14.6,11.5,0.7,20.9,277,Good
30.8,92.9,26.5,31.5,16.2,22.4,0.88,4.8,297,Poor
26,77.7,72.4,86.9,30.7,15.5,1.38,0.6,297,Poor
22.2,83.7,9,28.9,15,3.6,0.85,3.3,308,Moderate
20.1,26.4,40.1,47.8,36.5,15.5,1.31,6.9,316,Good
21.5,65.3,5.8,12.9,32,22.7,0.67,3.2,307,Moderate
26.5,76.7,6.4,21.7,6.1,8.1,0.81,6,267,Good
27.7,53.7,20.5,35,35.4,8.5,1.15,7.5,299,Good
31.5,43.4,85.1,97,26.2,17.1,0.81,0.2,317,Poor
24,58.3,15.4,21.7,11.2,16,0.91,1.2,283,Good
27.4,51.5,1.4,16.4,-2.4,18.9,0.62,13.5,300,Good
28.9,35.9,40.5,53,8.5,21.4,1.38,5.9,291,Hazardous
17.7,64.4,3.8,20.4,27.7,23.1,0.65,3.1,289,Good
13,69.4,36.3,55.9,20.4,6.4,1.33,7.6,316,Poor
29.6,63.7,18.9,32.2,12.4,15.1,1.39,2.6,262,Good
17.7,47.8,2,14.5,0.8,2.5,0.95,4.5,332,Moderate
20.7,71.1,25.5,30.3,14.2,6.9,0.74,0.9,317,Moderate
26.5,55,17.8,24.6,20.7,9.4,0.42,2.5,280,Good
34,58.9,19.3,25.1,29.5,23.3,0.76,2.8,335,Moderate
19.2,52.3,4,16.1,9.3,11.1,1.28,0.1,289,Moderate
18.6,68.6,88.4,106.2,5.5,6.1,1.07,28.7,303,Moderate
27.2,51.7,41.7,53.1,23.2,21,0.67,1,299,Moderate
30.3,69.8,22.9,33.3,14.1,11.2,1.23,5.5,276,Poor
33.3,55.7,1.3,4.1,40.3,15.1,0.86,1.7,295,Moderate
13.4,63.2,59.1,75.1,26.3,18.4,1.05,2.7,288,Good
22.4,55.2,1.5,17.8,12.7,22.6,1.35,4.8,290,Moderate
20.8,73.1,50.5,60.9,9.6,12.3,0.8,0.8,287,Good
18.4,74.1,47.1,55.9,17.5,12.3,1.29,8.1,305,Moderate
17.9,45.6,9.6,13.5,20.8,13.2,1.23,6.8,310,Moderate
29.4,35.1,10.3,28.4,20.1,11.9,1.56,0.7,307,Poor
24.5,51.7,100.9,107.1,29.3,3.4,0.93,0.3,308,Poor
18.8,55.3,29.8,39.5,21,16.2,0.6,0.5,309,Hazardous
24.8,54.7,123.1,128.8,8.1,11.7,1.08,2.9,315,Moderate
28.2,39.2,8.7,19.2,16.5,31.4,1.01,9.9,316,Good
21.5,57.9,8.2,11.4,-0.1,19.7,0.85,4.6,310,Hazardous
26.5,41.6,35.5,46.9,22.7,14.2,1.41,4,295,Moderate
31.1,58.6,10.3,17.1,31.5,12.9,0.91,17.8,302,Poor
26.3,61.8,39.9,45.3,13,10.9,0.77,2.8,308,Moderate
27,43.5,8.1,19.3,26,11.7,0.51,0.4,280,Good
24.1,75.4,14.6,36.6,25.5,10.1,0.95,7.5,289,Good
25.5,64,29.7,31.7,18.6,22.2,1.22,2.9,307,Good
34.9,55.4,35.2,44.8,11.3,29,0.37,1.3,301,Good
33.4,73.7,0.7,9.1,17.4,11.7,0.74,1.8,297,Good
26.8,64.2,7.9,21,40,9.4,1.06,24.2,305,Poor
38.4,65.5,32.9,49.6,4.9,29.4,0.65,2.8,271,Poor
15.4,78.5,111.3,118.3,27.1,18.5,0.86,3.6,296,Good
32.4,44.8,100.2,115.5,32,18,0.61,6.3,314,Good
26.3,57.3,4,12.2,34.8,16.6,0.92,2.3,291,Moderate
32.3,84.3,58.9,65.3,26,20.3,0.69,15.3,279,Moderate
27.1,50.8,8.5,17.1,24,15.5,0.73,18.1,291,Moderate
27.6,43.1,20.1,22.1,16.3,13.7,0.45,13.1,288,Moderate
16.5,81.6,117.8,128.7,12.9,7.1,1.25,14.8,320,Good
25.5,68.2,3.9,19.5,24.2,22.6,1.46,35.5,284,Hazardous
23.8,52.2,98.7,108.8,23.7,1.1,0.98,15.3,296,Poor
27.3,52.6,10.5,21.5,22.3,1.5,0.23,11.1,282,Moderate
21.8,63.8,22.1,32.1,25.2,23.6,1.18,0.4,261,Poor
19.9,44.4,4.7,14.3,15.3,31.6,1.21,10.5,281,Hazardous
32.4,73.6,60.3,64.2,12,25.8,0.77,1.5,295,Good
19.1,51.5,4.1,8.2,22.4,7.6,1.23,1.3,302,Good
20.4,45.6,28.5,40.5,12.9,0.2,0.85,0.2,312,Good
24.4,76.4,34.7,48.8,6.2,5,0.73,0.3,313,Moderate
21,68.8,24.2,35.3,11.7,23.9,1.42,13.6,273,Moderate
32.2,83.7,8.6,20.6,12.1,11.4,0.41,2,288,Poor
18.3,59,33.7,47.8,10.6,16,1.28,3.1,302,Good
23.1,44.7,4.7,8.2,31.8,22.3,0.65,0.3,283,Moderate
18.8,75.8,19.3,35.9,15.3,16.1,0.97,3.8,312,Moderate
21.5,48.5,42.3,59.4,22.3,20.9,1.07,6.1,319,Moderate
32.7,75.7,34.5,54.4,29.2,12.8,0.8,3.3,313,Hazardous
26.7,91.1,5.7,16,11.2,9.3,0.92,1,300,Moderate
31.7,23.8,3.8,3.5,12.2,12.9,0.57,1.6,290,Hazardous
23.4,50,47.2,68.6,22.2,24.6,0.54,3.5,319,Good
20.6,49,31.1,35.2,15.3,8.9,1.04,1.7,297,Moderate
23.8,42.9,39.7,50.8,22.8,24.5,0.83,9.7,303,Good
20.7,69.5,56.3,62.6,20.3,0.3,1.15,3.2,317,Good
25.8,57.3,19.7,22.6,37.6,16.9,0.96,3.8,297,Moderate
24.1,45.7,1.4,11.5,24.7,11.7,0.56,5.4,286,Moderate
31.8,52.7,7.1,26.7,49.8,24.9,0.99,9.1,298,Good
23.7,71.5,12.6,23,31.3,21.9,0.69,10.7,301,Poor
38.1,84.8,10.6,21.8,-3.3,23.5,0.99,2.8,304,Good
27.7,60.3,66.5,74.7,24,5.9,0.47,4.3,306,Hazardous
24.6,51.2,19.7,37.3,27.3,14.9,1.17,3.5,289,Poor
40.3,82.4,1.6,14.6,11.5,23.1,0.57,5.9,291,Good
27.5,77.3,43.9,62.1,7.1,23.7,0.76,4.6,306,Good
31.2,73.9,5.9,16.1,19.2,12.7,0.92,2.2,308,Moderate
21.8,35.2,12,26.1,32.3,19.3,0.75,6.5,327,Poor
21.1,70.7,30.2,45,7,22.7,1.13,9,317,Good
26.5,10,1.5,8.9,16,10.1,0.93,0.4,293,Hazardous
25.9,56.5,20.2,27.4,18.6,25,1.07,1.8,260,Hazardous
19.5,88.7,20.8,25.6,25.6,9.5,0.75,1.9,305,Good
36.3,60.9,47.5,58.8,14.6,0.7,1.16,2.9,277,Hazardous
23.7,39.9,30,44.3,10.9,23.3,0.53,2.3,285,Moderate
24.1,54.8,6,15.4,8.3,16.1,0.98,0.5,289,Good
18.8,71.5,209.2,222.2,35.4,23.3,1.24,0.2,308,Moderate
23,62.6,31.7,44.5,24.5,23.1,1.01,1.1,307,Good
19.1,66.2,69.7,77.5,26.3,24.4,0.95,3.1,328,Hazardous
28.9,78.1,4,7.1,16.9,1.7,0.94,24.2,322,Poor
23.9,66.1,84.4,93.8,18.1,16.2,0.73,1.7,300,Good
31.1,67.6,33,49.7,6.9,15.9,0.74,1.2,306,Moderate
27.2,59,59.4,62.4,14.7,12.4,1.06,0.2,303,Moderate
32.4,44,73.7,84.2,20.3,17.5,1.03,10.9,302,Moderate
28.9,49.3,0.1,6.6,5.8,16.2,0.87,0.6,283,Poor
35.6,30.2,7.3,24.8,24,29.5,0.59,4.6,279,Poor
20.4,71.3,3.6,7.5,26.2,12.6,0.95,15.7,294,Good
24.9,58.3,12.7,21,35.3,22.6,0.48,14.6,293,Good
26.3,45.1,31.6,43.4,12.1,13.1,1.25,1.4,316,Moderate
27.4,56,37,42.5,1.4,11.1,0.31,3.3,290,Moderate
27.8,75.2,11.7,21.9,28.5,23.4,1.8,6,318,Poor
23.3,84.3,40.6,51.8,21.4,11.1,1,3,321,Good
34,44.5,77,85.5,18.4,13.1,0.36,10.1,279,Moderate
37.3,48.6,7.1,19.5,25.6,21.9,0.91,3.7,300,Good
31.5,29.1,56.7,55.7,24.3,17.1,0.9,10.3,325,Good
17.3,73.2,11.8,16.7,31.8,6.3,0.9,3.3,315,Good
18.9,67,2,13.6,3.4,22.8,1.04,4.7,275,Poor
19.1,61.4,55.3,64.6,20.4,8.3,0.86,3.1,302,Good
22.9,68.5,9.3,15,18.2,20.1,1.25,1.1,292,Hazardous
21,35.1,13.5,26.2,21.1,16.2,1.12,0.2,286,Moderate
21.6,25.7,15,22.5,24.6,11.6,0.16,1.5,315,Good
29.4,77.2,15.9,31.3,25.8,30.7,0.7,3.9,278,Good
22.1,57.4,16.8,27.9,54.4,15.6,0.82,0.5,299,Good
27.1,50.4,23.1,28.8,14.9,17.1,0.98,2.8,304,Good
29.5,66.4,45.3,56,9.6,18.7,0.93,0.6,323,Hazardous
14,61.3,18.1,24.2,26,16,0.81,10.8,291,Moderate
23.1,63.3,0.4,11.4,27.2,15.8,0.29,5.1,299,Moderate
